               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.036475,            0.020734,           0.0025955,             0.55501,              0.6068,             0.53798,             0.24923,            0.042862,            0.010886,            0.010639,             0.00802,             0.00802,             0.00802
                 102,            0.036196,            0.020612,           0.0025471,             0.54699,             0.61664,             0.53638,              0.2497,            0.042868,            0.010893,            0.010678,           0.0080002,           0.0080002,           0.0080002
                 103,            0.035867,            0.020703,           0.0028463,             0.54519,             0.62034,             0.53675,             0.24978,            0.042844,              0.0109,            0.010677,           0.0079804,           0.0079804,           0.0079804
                 104,            0.036088,            0.020727,            0.002719,             0.54533,             0.62098,             0.53631,             0.24968,            0.042844,            0.010906,            0.010708,           0.0079606,           0.0079606,           0.0079606
                 105,            0.035973,            0.020591,           0.0027188,             0.54497,             0.62119,             0.53622,             0.25012,            0.042826,            0.010915,            0.010693,           0.0079408,           0.0079408,           0.0079408
                 106,            0.035743,            0.020431,           0.0025683,             0.54602,             0.61845,             0.53537,             0.25013,            0.042819,            0.010926,            0.010734,            0.007921,            0.007921,            0.007921
                 107,            0.035727,            0.020493,           0.0024131,             0.54467,             0.61839,             0.53454,             0.25016,            0.042829,            0.010938,            0.010759,           0.0079012,           0.0079012,           0.0079012
                 108,            0.035635,            0.020723,           0.0024872,             0.54342,             0.62486,             0.53464,             0.25041,            0.042846,            0.010947,            0.010765,           0.0078814,           0.0078814,           0.0078814
                 109,            0.035673,            0.020286,             0.00251,             0.54186,             0.62892,             0.53301,             0.24976,            0.042855,            0.010952,            0.010773,           0.0078616,           0.0078616,           0.0078616
                 110,            0.035927,             0.02045,            0.002727,             0.54326,             0.63128,             0.53575,              0.2498,             0.04287,            0.010959,            0.010781,           0.0078418,           0.0078418,           0.0078418
                 111,            0.035635,            0.020217,           0.0024406,             0.54613,             0.63008,             0.53659,             0.24924,            0.042887,            0.010968,              0.0108,            0.007822,            0.007822,            0.007822
                 112,            0.035479,             0.02033,           0.0026177,             0.54465,             0.62997,             0.53619,             0.24882,            0.042906,            0.010978,            0.010823,           0.0078022,           0.0078022,           0.0078022
                 113,            0.035402,            0.020426,           0.0025457,             0.54472,             0.62827,             0.53522,             0.24893,             0.04293,             0.01099,            0.010832,           0.0077824,           0.0077824,           0.0077824
                 114,            0.035256,            0.020202,           0.0025407,             0.54352,             0.62915,             0.53503,             0.24868,            0.042956,            0.011002,            0.010858,           0.0077626,           0.0077626,           0.0077626
                 115,            0.035553,            0.020498,           0.0026894,             0.54304,             0.62779,             0.53508,             0.24883,            0.042985,             0.01101,            0.010881,           0.0077428,           0.0077428,           0.0077428
                 116,            0.035197,            0.020422,           0.0026168,             0.54366,             0.62278,             0.53171,             0.24861,            0.042998,            0.011016,            0.010902,            0.007723,            0.007723,            0.007723
                 117,            0.035272,            0.020425,           0.0025929,             0.54202,             0.62403,             0.53203,              0.2486,            0.043029,            0.011022,             0.01092,           0.0077032,           0.0077032,           0.0077032
                 118,            0.035089,            0.020336,           0.0026303,             0.54472,              0.6201,             0.53164,             0.24844,            0.043044,            0.011023,            0.010955,           0.0076834,           0.0076834,           0.0076834
                 119,            0.035021,            0.020252,           0.0024826,             0.54563,             0.62005,             0.53328,             0.24839,            0.043061,            0.011027,            0.010979,           0.0076636,           0.0076636,           0.0076636
                 120,            0.034985,             0.02017,           0.0022994,             0.54725,             0.61848,               0.533,             0.24793,            0.043089,            0.011034,            0.011014,           0.0076438,           0.0076438,           0.0076438
                 121,            0.035018,            0.020157,           0.0025323,             0.54828,              0.6176,             0.53355,             0.24832,            0.043111,            0.011038,            0.011032,            0.007624,            0.007624,            0.007624
                 122,            0.034924,            0.020158,              0.0024,             0.54827,             0.61644,             0.53299,              0.2478,            0.043133,            0.011043,            0.011033,           0.0076042,           0.0076042,           0.0076042
                 123,            0.034926,            0.020361,           0.0025295,             0.54871,             0.61704,             0.53072,             0.24741,            0.043144,             0.01105,            0.011046,           0.0075844,           0.0075844,           0.0075844
                 124,            0.035106,            0.020391,           0.0026103,             0.54821,             0.61662,             0.53062,             0.24734,            0.043158,            0.011054,            0.011056,           0.0075646,           0.0075646,           0.0075646
                 125,             0.03468,            0.020121,           0.0024352,              0.5479,             0.61585,             0.53095,             0.24737,            0.043168,             0.01106,            0.011072,           0.0075448,           0.0075448,           0.0075448
                 126,            0.034681,            0.020281,           0.0024383,             0.54696,             0.61538,             0.53017,             0.24706,            0.043184,            0.011063,            0.011108,            0.007525,            0.007525,            0.007525
                 127,            0.034748,            0.019963,           0.0022309,             0.54453,             0.61758,              0.5293,             0.24721,            0.043198,            0.011068,            0.011133,           0.0075052,           0.0075052,           0.0075052
                 128,             0.03453,            0.020113,           0.0023921,             0.54437,             0.61773,             0.52999,              0.2474,            0.043204,            0.011073,            0.011168,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034599,            0.019889,            0.002297,             0.54473,             0.61484,             0.53018,             0.24732,             0.04322,            0.011082,            0.011181,           0.0074656,           0.0074656,           0.0074656
                 130,            0.034371,            0.020276,           0.0023189,              0.5369,             0.62006,             0.52876,             0.24688,            0.043236,            0.011088,            0.011199,           0.0074458,           0.0074458,           0.0074458
                 131,            0.034164,            0.019888,           0.0020825,             0.53628,             0.62271,             0.52845,             0.24684,            0.043249,            0.011097,            0.011213,            0.007426,            0.007426,            0.007426
                 132,            0.034521,             0.01967,           0.0020825,             0.53513,             0.62363,             0.52868,             0.24703,            0.043262,            0.011101,            0.011232,           0.0074062,           0.0074062,           0.0074062
                 133,            0.034483,            0.019784,           0.0024063,             0.53409,             0.62322,             0.52872,             0.24674,            0.043274,            0.011108,            0.011254,           0.0073864,           0.0073864,           0.0073864
                 134,            0.034544,            0.020183,           0.0024072,             0.53664,             0.62551,             0.53012,               0.247,            0.043286,            0.011118,            0.011282,           0.0073666,           0.0073666,           0.0073666
                 135,            0.034187,            0.020018,           0.0022913,             0.53223,             0.62665,              0.5292,             0.24655,            0.043304,            0.011128,            0.011306,           0.0073468,           0.0073468,           0.0073468
                 136,             0.03424,            0.020014,           0.0022972,             0.53139,             0.62682,             0.52938,             0.24679,            0.043321,            0.011134,            0.011325,            0.007327,            0.007327,            0.007327
                 137,            0.033809,            0.020019,           0.0021369,             0.53158,             0.62668,             0.52935,             0.24659,            0.043338,            0.011141,            0.011341,           0.0073072,           0.0073072,           0.0073072
                 138,            0.034065,            0.019938,           0.0023909,             0.52866,             0.62783,             0.52844,             0.24643,            0.043359,            0.011148,            0.011353,           0.0072874,           0.0072874,           0.0072874
                 139,             0.03422,            0.020065,           0.0024375,             0.52818,             0.62787,             0.52759,             0.24619,             0.04338,            0.011153,            0.011364,           0.0072676,           0.0072676,           0.0072676
                 140,            0.033983,            0.019964,            0.002271,             0.52876,             0.62817,             0.52685,             0.24608,            0.043392,            0.011158,            0.011381,           0.0072478,           0.0072478,           0.0072478
                 141,             0.03425,            0.020033,           0.0022617,             0.53574,             0.62421,             0.52743,             0.24583,            0.043395,            0.011165,            0.011398,            0.007228,            0.007228,            0.007228
                 142,            0.033892,            0.019796,           0.0023879,             0.53538,             0.62303,             0.52637,             0.24561,            0.043414,             0.01117,            0.011408,           0.0072082,           0.0072082,           0.0072082
                 143,            0.033587,            0.019934,           0.0021262,             0.53691,             0.62574,             0.52757,             0.24588,            0.043424,            0.011178,            0.011437,           0.0071884,           0.0071884,           0.0071884
                 144,            0.033816,            0.019886,           0.0022369,             0.53708,             0.62784,             0.52824,              0.2463,            0.043434,            0.011185,            0.011452,           0.0071686,           0.0071686,           0.0071686
                 145,            0.033742,            0.019937,           0.0020941,             0.54096,             0.61803,             0.52809,             0.24618,            0.043452,            0.011194,            0.011468,           0.0071488,           0.0071488,           0.0071488
                 146,            0.033526,            0.019428,           0.0021927,                0.54,             0.61772,             0.52788,             0.24613,            0.043465,            0.011202,            0.011495,            0.007129,            0.007129,            0.007129
                 147,            0.033898,            0.019857,           0.0022428,             0.53913,             0.61879,             0.52759,             0.24649,            0.043479,            0.011209,            0.011521,           0.0071092,           0.0071092,           0.0071092
                 148,            0.033506,            0.019817,           0.0022813,             0.53937,             0.61969,             0.52761,             0.24613,            0.043495,            0.011219,            0.011537,           0.0070894,           0.0070894,           0.0070894
                 149,            0.033722,            0.019735,           0.0024566,             0.53864,             0.61922,               0.527,             0.24618,            0.043517,            0.011226,            0.011546,           0.0070696,           0.0070696,           0.0070696
                 150,             0.03351,            0.019982,           0.0024152,             0.53869,             0.61917,             0.52668,             0.24558,            0.043536,            0.011233,            0.011554,           0.0070498,           0.0070498,           0.0070498
                 151,            0.033332,            0.019842,           0.0021074,             0.53686,             0.62065,             0.52652,             0.24539,            0.043556,            0.011237,            0.011561,             0.00703,             0.00703,             0.00703
                 152,            0.033302,            0.019639,           0.0020955,             0.53714,              0.6214,             0.52615,             0.24546,            0.043577,            0.011245,            0.011568,           0.0070102,           0.0070102,           0.0070102
                 153,            0.033616,            0.019867,           0.0021941,             0.53683,              0.6214,             0.52613,             0.24527,             0.04359,            0.011252,            0.011577,           0.0069904,           0.0069904,           0.0069904
